time,desired_q1,desired_q2,actual_q1,actual_q2,error_q1,error_q2,error_norm
28.694484,0.40717217,0.07226621,0.45043779,-0.63231432,-0.04326562,0.70458053,0.70590767
28.714350,0.40348847,0.06717253,0.43415028,-0.56105215,-0.03066181,0.62822468,0.62897249
28.734398,0.39966140,0.06212604,0.35072956,-0.22445177,0.04893184,0.28657781,0.29072524
28.753916,0.39569234,0.05712854,0.47663744,-0.70356399,-0.08094510,0.76069253,0.76498709
28.774363,0.39158269,0.05218180,0.48928018,-0.77251976,-0.09769749,0.82470156,0.83046821
28.794568,0.38733391,0.04728758,0.39661259,-0.43095265,-0.00927868,0.47824023,0.47833023
28.814359,0.38294752,0.04244761,0.45179666,-0.66605018,-0.06884914,0.70849779,0.71183518
28.834350,0.37842506,0.03766362,0.43601494,-0.60936934,-0.05758988,0.64703296,0.64959083
28.853845,0.37376815,0.03293732,0.35434067,-0.29411994,0.01942748,0.32705726,0.32763375
28.874256,0.36897845,0.02827036,0.47032161,-0.75410935,-0.10134316,0.78237971,0.78891600
28.894207,0.36405765,0.02366442,0.48030000,-0.83265638,-0.11624235,0.85632080,0.86417451
28.914333,0.35900750,0.01912114,0.38246553,-0.48329658,-0.02345803,0.50241772,0.50296505
28.934591,0.35382979,0.01464212,0.41529434,-0.64220518,-0.06146455,0.65684730,0.65971681
28.953913,0.34852638,0.01022895,0.43528586,-0.74675367,-0.08675948,0.75698262,0.76193825
28.974468,0.34309913,0.00588321,0.33496258,-0.37915566,0.00813655,0.38503887,0.38512483
28.994361,0.33754998,0.00160644,0.38004548,-0.57344738,-0.04249550,0.57505382,0.57662186
29.014398,0.33188090,-0.00259984,0.39961822,-0.66370945,-0.06773732,0.66110961,0.66457074
29.034381,0.32609391,-0.00673414,0.30795180,-0.32649092,0.01814211,0.31975678,0.32027103
29.053822,0.32019105,-0.01079499,0.38542964,-0.64551722,-0.06523859,0.63472223,0.63806613
29.074127,0.31417444,-0.01478094,0.37812359,-0.63484976,-0.06394915,0.62006882,0.62335771
29.094309,0.30804620,-0.01869059,0.30017162,-0.35418673,0.00787458,0.33549614,0.33558854
29.114628,0.30180851,-0.02252253,0.40976454,-0.81492214,-0.10795603,0.79239961,0.79971973
29.134303,0.29546359,-0.02627541,0.41791155,-0.91613730,-0.12244796,0.88986189,0.89824701
